lsanr,x,y,standort,baulast,bezirk,blindens,bemerkung,locid,mapem
0299 (099),23576780.143275,56400764.969901,Militärringstraße / Zum Forstbotanischen Garten,StrNRW/Stadt Köln,Rodenkirchen,nein,---,nein,nein
0310 (110),23538183.606027,56407306.801903,Militärringstraße / Unterer Komarweg,StrNRW/Stadt Köln,Lindenthal,nein,---,nein,nein
0311 (111),23532144.354793,56415048.270362,Militärringstraße / Berrenrather Straße,StrNRW/Stadt Köln,Lindenthal,nein,---,nein,nein
0312 (112),23520789.605796,56424485.977746,Militärringstraße / Gleueler Straße,StrNRW,Lindenthal,nein,---,nein,nein
0325 (125),23530684.454072,56407200.528063,Luxemburger Straße / BAB4-Ost,StrNRW/Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
0326 (126),23529215.036514,56405023.835552,Luxemburger Straße / BAB4-West,StrNRW/Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
0328 (128),23486980.818243,56429591.787668,Dürener Straße / BAB1-Ost / Max-Planck-Straße West,StrNRW,Lindenthal,nein,---,nein,nein
0329 (129),23485894.388516,56429254.728997,Dürener Straße / Autobahnmeisterei,StrNRW,Lindenthal,nein,---,nein,nein
0330 (130),23482952.106833,56428410.77571,Dürener Straße / BAB1-West,StrNRW,Lindenthal,nein,---,nein,nein
0339 (217),23505656.264376,56435004.132044,Dürener Straße / Am Haelentor,StrNRW,Lindenthal,nein,---,nein,nein
0340 (140),23507196.423072,56435425.792016,Dürener Straße / Stüttgenweg / Jakob-Kaiser-Str.,StrNRW,Lindenthal,nein,---,nein,nein
0341 (225),23503012.561423,56434218.096597,Dürener Straße / Salzburger Weg,StrNRW,Lindenthal,nein,---,nein,nein
0345 (545),23508973.4,56460546.1,Militärringstraße / Widdersdorfer Straße,StrNRW,Lindenthal,nein,---,nein,nein
0415 (115),23505855.513882,56493477.734891,Militärringstraße / Ollenhauerring / Hugo-Eckener-Straße,StrNRW/Stadt Köln,Ehrenfeld,nein,---,nein,nein
0416 (116),23507677.272154,56500987.583728,Militärringstraße / Buschweg,StrNRW,Ehrenfeld,nein,---,nein,nein
0417 (117),23515564.532969,56508042.286724,Militärringstraße / Johannesstraße,StrNRW/Stadt Köln,Ehrenfeld,nein,---,nein,nein
430,23492818.010783,56494981.193952,Venloer Str. - B59 / BAB A1 Ost,StrNRW,Ehrenfeld,nein,---,nein,nein
0431 (131),23490242,56496424,Venloer Straße / BAB1-Ost und West,StrNRW/Stadt Köln,Ehrenfeld,nein,---,nein,nein
0432 (227),23489833.306911,56496659.759358,Venloer Straße / Fa. Gugel,StrNRW/Stadt Köln,Ehrenfeld,nein,---,nein,nein
0433 (433),23488627,56497398,Venloer Straße / Garzweilerweg,StrNRW/Stadt Köln,Ehrenfeld,nein,---,nein,nein
0434 (228),23486104,56498956,Venloer Straße / Spenrather Weg,StrNRW/Stadt Köln,Ehrenfeld,nein,---,nein,nein
0443 (143),23503372.849392,56482612.534265,Militärringstraße / Goldammerweg,StrNRW,Ehrenfeld,nein,---,nein,nein
0444 (144),23496891.659227,56493013.134938,Venloer Straße / Nattermannallee,StrNRW/Stadt Köln,Ehrenfeld,nein,---,nein,nein
0462 (562),23502996.452378,56474029.149482,Militärringstraße / Vogelsanger Straße / Carl-von-Linne-Weg,StrNRW,Ehrenfeld,nein,---,nein,nein
0518 (118),23523830.6,56513464.4,Militärringstraße / BAB57-Ost,StrNRW/Stadt Köln,Nippes,nein,---,nein,nein
0520 (120),23528060.4,56517570,Militärringstraße / Volkhovener Weg,StrNRW/Stadt Köln,Nippes,nein,---,nein,nein
0521 (121),23535040.2,56518926.8,Militärringstraße / Mercatorstraße / Longericher Straße,StrNRW,Nippes,nein,---,nein,nein
0539 (139),23525196.7,56514893.8,Militärringstraße / Lindweilerweg,StrNRW/Stadt Köln,Nippes,nein,---,nein,nein
0540 (540),23530560.9,56518769,Militärringstraße / Heimersdorfer Straße,StrNRW/Stadt Köln,Nippes,nein,---,nein,nein
0543 (543),23545819.4,56517017.8,Militärringstraße / Herforder Straße,StrNRW,Nippes,nein,---,nein,nein
0563 (163),23541063,56518162.2,Militärringstraße / Kaserne Lüttich,StrNRW,Nippes,nein,---,nein,nein
0619 (219),23483727.164619,56564442.9405,Worringer Landstraße / BAB57,StrNRW,Chorweiler,nein,---,nein,nein
0624 (124),23497386.835694,56534660.782129,Chorbuschstraße / Am Baggerfeld / Weilerstraße / Auweilerstraße,StrNRW,Chorweiler,nein,---,nein,nein
0650 (550),23504975.354858,56527572.165838,Am Baggerfeld / Escher Straße / Bad,StrNRW,Chorweiler,nein,---,nein,nein
0665 (165),23497898.874359,56601177.390927,Neusser Landstraße / Bayer Dormagen-Süd,StrNRW,Chorweiler,nein,---,nein,nein
666,23493802.792591,56609809.069921,Neusser Landstraße / Bayer Dormagen-Nord,StrNRW,Chorweiler,nein,---,nein,nein
667,23486644.573675,56602754.979214,Parallelweg / Bayer Dormagen - Tor 5 / S-Bahn HST,StrNRW,Chorweiler,nein,---,nein,nein
0671 (171),23505945.438256,56524904.910969,Escher Straße / Donatusstraße,StrNRW,Chorweiler,nein,---,nein,nein
0676 (176),23539548.848975,56540417.153219,Neusser Landstraße / Stallagsbergweg  / Asternweg,StrNRW,Chorweiler,nein,---,nein,nein
0677 (177),23540174.373578,56539191.89584,Neusser Landstraße / Chrysanthemenweg,StrNRW,Chorweiler,nein,---,nein,nein
0713 (013),23650220.304762,56388730.016703,Frankfurter Straße / Kennedystraße,StrNRW,Porz,nein,---,nein,nein
0714 (014),23643649.037073,56415464.833709,Maarhäuser Weg / Hansestraße,StrNRW,Porz,nein,---,nein,nein
0715 (015),23636434.457951,56408814.179053,Steinstraße / Humboldtstraße / Frankenstraße,StrNRW,Porz,nein,---,nein,nein
0716 (016),23634738.902985,56402059.086805,Steinstraße / Theodor-Heuss-Straße / Hohenstaufenstraße,StrNRW,Porz,nein,---,nein,nein
0717 (017),23649588.259903,56409209.716677,Theodor-Heuss-Straße / Hansestraße / Heumarer Straße,StrNRW,Porz,nein,---,nein,nein
0718 (018),23647555.339112,56406460.739164,Theodor-Heuss-Straße / Rudolf-Diesel-Straße,StrNRW,Porz,nein,---,nein,nein
0719 (019),23666532.073599,56388368.910447,Grengeler Mauspfad / Alte Kölner Straße,StrNRW/Stadt Köln,Porz,nein,---,nein,nein
